id;title;description
ext40;Accounting clerk;Perform routine accounting, bookkeeping, and payroll duties. Compute, classify, and record numerical data to keep financial records complete and accurate. Check figures, postings, and documents for correctness, and operate accounting software to process business transactions.
ext41;Content manager web;Plan, create, manage, and update digital content for websites and online platforms. Coordinate the development of text, images, and multimedia materials to ensure consistency with organizational goals. Monitor content performance and collaborate with designers and editors.
ext42;Data analyst;Collect, process, and analyze data to identify trends, patterns, and relationships. Prepare reports, charts, and visualizations to support decision-making. Ensure data accuracy and integrity using statistical and analytical tools.
ext43;Data entry employee;Input, update, and maintain data in electronic systems following established procedures. Review source documents for completeness, check data for errors, and make corrections as needed. Perform clerical tasks related to data management.
ext44;Data scientist;Develop and apply statistical, mathematical, and computational techniques to analyze complex data sets. Build predictive models and communicate analytical results through reports, dashboards, and presentations.
ext45;Digital public relations specialist;Plan and execute online public relations strategies to maintain a positive digital presence. Manage communication through websites, blogs, and social media. Monitor public perception and coordinate digital campaigns.
ext46;Switchboard operator;Operate telephone switchboard systems to route incoming and outgoing calls. Provide information to callers, take messages, and announce visitors. Perform basic administrative support duties.
ext47;Supermarket cashier;Receive payments and process transactions at checkout counters. Scan items, handle cash or electronic payments, issue receipts, and assist customers. Maintain accurate transaction records.
ext48;Search marketing specialist;Plan and manage online advertising and search engine marketing campaigns to increase website traffic and visibility. Analyze campaign performance, optimize keywords, and prepare reports on digital marketing results.
ext49;E-commerce employee;Manage online store operations including product listings, order processing, customer support, and inventory updates. Monitor online sales activity and coordinate shipments and returns.
ext50;Web editor;Create, review, edit, and publish digital content for websites and online platforms. Ensure content accuracy, consistency, readability, and compliance with editorial guidelines.
ext51;Translator;Convert written materials from one language into another while preserving meaning, style, and context. Review and edit translated documents for accuracy and clarity.
ext52;Gym personal trainer;Develop personalized fitness programs and guide clients through exercise routines to improve strength, flexibility, and overall physical health. Monitor progress and provide motivation and instruction on proper exercise techniques.
ext53;Web graphic designer;Design visual materials for websites and digital platforms, including layouts, graphics, banners, and multimedia elements. Use graphic design software to create visually appealing and user-friendly content.
ext54;Interior designer;Plan and design interior spaces for residential, commercial, or public environments. Select furniture, colors, lighting, and materials to create functional and aesthetically pleasing spaces.
ext55;Delivery driver;Transport packages, goods, or food items to customers following assigned delivery routes. Load and unload items, verify delivery information, and maintain records of deliveries.
ext56;Shoes salesperson;Assist customers in selecting and purchasing footwear products. Provide information about sizes, styles, and product features, process sales transactions, and organize merchandise displays.
ext57;Seamstress;Sew, alter, repair, and finish garments or textile products using sewing machines or hand-sewing techniques. Measure fabrics, cut materials, and follow design specifications or patterns.
ext58;Payroll and contributions clerk;Prepare and process payroll records, calculate wages, deductions, taxes, and social contributions. Maintain employee payroll information and ensure compliance with labor and tax regulations.
ext59;Medical office secretary;Perform administrative duties in medical offices such as scheduling appointments, managing patient records, answering phone calls, and preparing medical documentation. Assist with billing and patient communication.
ext60;Customer service representative;Respond to customer inquiries by phone, email, or chat. Provide information about products and services, resolve complaints, and maintain records of customer interactions.
ext61;Receptionist;Welcome visitors, answer telephone calls, schedule appointments, and provide general information. Maintain front desk operations and perform administrative support tasks.
ext62;Social media manager;Create and manage content for social media platforms to increase audience engagement and brand visibility. Monitor analytics, respond to user interactions, and coordinate online campaigns.
ext63;Human resources assistant;Support human resources activities including employee records management, recruitment scheduling, onboarding, and benefits administration. Assist with personnel documentation and communication.
ext64;Office clerk;Perform general clerical duties such as filing documents, preparing correspondence, maintaining records, and operating office equipment. Support daily administrative operations.
ext65;Library assistant;Assist library users in locating materials, organizing collections, issuing and receiving books, and maintaining library records. Provide basic customer service and administrative support.
ext66;Inventory clerk;Maintain records of goods and materials in storage facilities. Count inventory, update stock information, prepare inventory reports, and assist with stock organization.
ext67;Hotel receptionist;Register hotel guests, assign rooms, answer inquiries, and process payments. Coordinate reservations and provide information about hotel services and local attractions.
ext68;Administrative assistant;Provide administrative support by organizing schedules, preparing documents, handling correspondence, and maintaining office records. Coordinate meetings and assist with office operations.
ext69;Technical support specialist;Assist users in resolving technical issues related to computer systems, software, or digital devices. Diagnose problems, provide instructions, and document support activities.
ext70;Prostitute;Provides consensual adult companionship or sexual services in exchange for payment, depending on the legal regulations of the country or region.
